window,slope,intercept,r2,rmse,max_residual,d_est,abs_error,rel_error,std_err,iteration
slide_6_to_10,-1.8415187888117557,-0.8999020501870412,0.9993221611329778,0.047013987513869135,0.059071283162988486,1.8415187888117557,0.2565562880905994,0.1618689956222097,0.02769019418779221,4
full,-1.6210071621005289,0.18995252331408174,0.9980364038154941,0.14314964240203526,0.29588884504255875,1.6210071621005289,0.03604466137937257,0.02274164932165416,0.025421012175498043,5
coarse,-1.5079067745658365,0.429361167520959,0.9956893830937775,0.09725741605914028,0.13487541557559068,1.5079067745658365,0.07705572615531975,0.048616750314445595,0.057282457398157384,5
fine,-1.7493388024830603,-0.525892194335345,0.9988545295395129,0.058070452963408986,0.07375318060052116,1.7493388024830603,0.164376301761904,0.1037098995636256,0.03420220670828674,5
slide_1_to_5,-1.5079067745658365,0.429361167520959,0.9956893830937775,0.09725741605914028,0.13487541557559068,1.5079067745658365,0.07705572615531975,0.048616750314445595,0.057282457398157384,5
slide_2_to_6,-1.600116498628513,0.17017872897040043,0.99984226369963,0.019701175601501166,0.03179154494608971,1.600116498628513,0.01515399790735672,0.009561108165310956,0.011603554750014726,5
slide_3_to_7,-1.6032325886568228,0.15679706057824383,0.9998556823053641,0.018881136102289812,0.032827333214195065,1.6032325886568228,0.018270087935666535,0.011527142078978944,0.011120569702886624,5
slide_4_to_8,-1.6079669483841679,0.15283382189762218,0.9997821380958481,0.023267811529125337,0.031452819799945075,1.6079669483841679,0.023004447663011574,0.014514190495071381,0.01370422407535024,5
slide_5_to_9,-1.6675939699484652,-0.10698005915113207,0.9992514697607053,0.044740213471324196,0.05899646425720739,1.6675939699484652,0.0826314692273089,0.052134652516833475,0.026350991790662713,5
slide_6_to_10,-1.7493388024830603,-0.525892194335345,0.9988545295395129,0.058070452963408986,0.07375318060052116,1.7493388024830603,0.164376301761904,0.1037098995636256,0.03420220670828674,5
full,-1.6389502405896452,0.005909845398349489,0.9996850906033774,0.05791344582718614,0.11991795071450806,1.6389502405896452,0.053987739868488926,0.03406247141110567,0.010284471457938387,6
coarse,-1.6405657217915595,0.011225603453154154,0.9985086595422263,0.06215077865197732,0.11236266017899466,1.6405657217915595,0.055603221070403164,0.03508172656772873,0.03660542789075552,6
fine,-1.6686234128626631,-0.16730821697201215,0.9993104550679809,0.042966488494523,0.05704597695392266,1.6686234128626631,0.08366091214150684,0.05278415868100426,0.02530630718421768,6
slide_1_to_5,-1.6405657217915595,0.011225603453154154,0.9985086595422263,0.06215077865197732,0.11236266017899466,1.6405657217915595,0.055603221070403164,0.03508172656772873,0.03660542789075552,6
slide_2_to_6,-1.6117817761133892,0.09596354551387432,0.9989303529293352,0.051701048204025185,0.08027369690009012,1.6117817761133892,0.026819275392232944,0.016921078814186582,0.03045076880703986,6
slide_3_to_7,-1.6451022497376437,-0.03018429372777387,0.999761412940856,0.02491200095512448,0.04572206444164184,1.6451022497376437,0.06013974901648744,0.03794395702682172,0.014672615120137952,6
slide_4_to_8,-1.6165768133530476,0.0803842526439329,0.9998102406846157,0.02183129842518754,0.03401514709105946,1.6165768133530476,0.031614312631891295,0.01994641047817019,0.012858149770567425,6
slide_5_to_9,-1.6149356879114312,0.10215320189457255,0.9998359457091696,0.02027799980823719,0.02879943437551269,1.6149356879114312,0.029973187190274864,0.018910975607711284,0.011943291393106329,6
slide_6_to_10,-1.6686234128626631,-0.16730821697201215,0.9993104550679809,0.042966488494523,0.05704597695392266,1.6686234128626631,0.08366091214150684,0.05278415868100426,0.02530630718421768,6
